Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
025CBE.M0.PAX	0.0213935705643316	0	0.0209093203517016	0.137015750342785	0.0279970372469482	0	0.00153315114208931	0	0.14188984252388	0	0.136242539298773	0.0181349176363852	0.241961105438164	0.0316306780629332	0	0	0	0	0.0151608498791293	0	0	0.20613123751288	0	0.74232183370395	0.703080863608704
0719FA.M0.PAX	0.0698315212407565	0	0.0407922759390294	0.307435886732507	0	0	0.0129587633315429	0	0.170482664043746	0	0.153045657887199	0.0161732308605576	0.135242768037373	0.00286143778139262	0	0	0.000508613300396646	0	0.00455745890020766	0	0	0.0861097219452916	0	0.674563373114436	0.749471417356727
0BF51C.M0.PAX	0	0.0742978615251136	0.038365504777479	0.166710936054162	0.0568287242608259	0	0	0	0.175878463398141	0	0.0433383782965799	0.0443879129607137	0.244927735093333	0.0309469380835238	0.00398191426493629	0	0	0.00288646655164578	0.0137367114202174	0	0	0.103712453313328	0	0.618780690572899	0.797316326736865
0BF51C.M6.PAX	0.0363904379924176	0.0184025743627937	0.0440193890362132	0.186552029384644	0.0669510039084523	0	0.00133347324773227	0	0.219390445457145	0	0.0734346141863808	0.00722501598554209	0.203650513791538	0.0122256205078342	0	0.000900808819577842	0	0	0.0077027244436737	0	0	0.121821348876055	0	0.702544184265523	0.739271246929061
0E1ECA.M0.PAX	0.104347652220531	0	0.0413140025755187	0.222225081788281	0	0	0.000100018906480751	0	0.12359145780372	0	0.108634884143655	0.0051471717043341	0.197236634635568	0.0146677935811284	0	0	0	0	0.0110185858752639	0	0	0.171716716765519	0	0.693379300924491	0.744733551843024
18EF5E.M0.PAX	0.0199992577348568	0.0223039804579917	0.0470597070446488	0.274636460394242	0.0402989617225769	0	0.0259659681848247	0	0.187763024749972	0	0.0731039234326675	0.0249198913028047	0.165657294767397	0.0266556966501783	0	0	0	0	0.0256782602017727	0	0	0.0659575733560665	0	0.52560327498013	0.850257735360375
1AC6B8.M0.PAX	0.0422846410513673	0.0226298711304458	0.0287634278073689	0.227153780232387	0.0149580569851214	0	0.0133951712488793	0	0.130265383637155	0	0.109642071123936	0.0233168563434765	0.134071588082684	0.0216783264477001	0	0	0.0133308207073146	0	0.0232599892052016	0	0	0.195250015996963	0	0.779753398889316	0.681863444805176
1E06CA.M0.PAX	0.049362898650576	0	0.018848685277706	0.133430910204193	0.0483633315494896	0	0.00853665968649893	0	0.180972019459013	0	0.0637014629749738	0.00131420516659594	0.168225549370416	0.0229621834077512	0	0	0	0	0.0063358736235655	0	0	0.297946220629221	0	0.789430548784579	0.655677609211873
234BBF.M0.PAX	0.0174913059620107	0	0.0152705352863224	0.136190925419142	0	0	0.00153388162650166	0	0.0829779809698324	0	0.120215715489486	0	0.213067770288372	0.0117389443478787	0	0	0	6.56372339537462e-05	0	0.00180317161428591	0	0.399644131762215	0	0.752030438685914	0.667264507742276
322088.M0.PAX	0.0824396178997342	0.0181888365166637	0.0341002645798582	0.155618361760783	0.0638439526788583	0	0.0148106256905666	0	0.187279458955567	0	0.0797472607760094	0.0129231214006971	0.126028190516449	0.0387055101473105	0	0	0	0	0.0289342995703267	0	0	0.157380499507176	0	0.742090466816684	0.718275754853851
3B441F.M0.PAX	0.0134158152821744	0.0360869903868819	0.0538302752448901	0.1473839633866	0.061903457051406	0	0	0	0.145573443279365	0	0.0760794380069132	0.0531659707159414	0.203236214790157	0.0297611629138217	0	0	0	0	0.0378972716366906	0	0	0.141665997305158	0	0.59717748895797	0.809873048875653
