"EnsemblID","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Expression"
"ENSG00000118785.15","SPP1",50.1760391984772,-1.93185191354617,0.308320188281873,-6.26573279003068,3.7107618558461e-10,1.80825226798917e-08,"Down-regulated"
"ENSG00000172346.15","CSDC2",11.2624159997755,-1.85429735676561,0.300861970211528,-6.16328263576119,7.12521633184915e-10,3.20634734933212e-08,"Down-regulated"
"ENSG00000259235.2","CTXN2-AS1",30.044678060487,-1.81980160277246,0.528447536977688,-3.44367505841794,0.000573864950050102,0.00420196412802857,"Down-regulated"
"ENSG00000214548.18","MEG3",153.685493766868,-1.81444417943281,0.320339205466801,-5.664133981942,1.47768916245706e-08,4.72471666417192e-07,"Down-regulated"
"ENSG00000283378.1","CNTNAP3C",19.457571616139,-1.78249984870894,0.308862112230483,-5.7711832501449,7.87168130089000e-09,2.64688914591735e-07,"Down-regulated"
"ENSG00000099998.19","GGT5",69.7860535795666,-1.75963985851684,0.222121531961997,-7.92196885630113,2.33778874436424e-15,3.49231146442936e-13,"Down-regulated"
"ENSG00000122733.12","PHF24",35.863848127286,-1.7534852287397,0.265922792351189,-6.59396365853429,4.28236576521701e-11,2.57577940828647e-09,"Down-regulated"
"ENSG00000185736.16","ADARB2",51.905441690676,-1.74956783800046,0.512896995801854,-3.41114853922125,0.000646898397949368,0.00463068472216309,"Down-regulated"
"ENSG00000265992.1","ESRG",33.2181558547459,-1.66778883808052,0.383968849618051,-4.34355245155834,1.40196984874852e-05,0.000180699437718824,"Down-regulated"
"ENSG00000216588.9","IGSF23",11.5160325855759,-1.64110315548639,0.358862936433273,-4.57306394412659,4.80643374177928e-06,7.15663847581106e-05,"Down-regulated"
"ENSG00000054179.12","ENTPD2",76.7924386860226,-1.62679931732718,0.269851015412707,-6.02850915657728,1.65479024090578e-09,6.76200720639191e-08,"Down-regulated"
"ENSG00000146122.17","DAAM2",79.6937882163896,-1.59101161633911,0.265488859091174,-5.99276226424523,2.06306341658156e-09,8.26358917960417e-08,"Down-regulated"
"ENSG00000074803.21","SLC12A1",189.792234735501,-1.53902327654158,0.387225030510513,-3.9744932669062,7.05292573039342e-05,0.000711342398652021,"Down-regulated"
"ENSG00000154736.6","ADAMTS5",22.5464555510322,-1.502537433554,0.222742691582969,-6.74561945389045,1.52375511575382e-11,1.02473937212596e-09,"Down-regulated"
"ENSG00000106714.18","CNTNAP3",425.814244796984,-1.46342476503238,0.223519940845725,-6.54717766788624,5.863459356406e-11,3.45830248448218e-09,"Down-regulated"
"ENSG00000204001.10","LCN8",99.6252720926347,-1.4440495091247,0.387561867922047,-3.72598449085592,0.000194554366968526,0.00169897141255457,"Down-regulated"
"ENSG00000221937.4","TAS2R40",10.4726351421298,-1.39568875082747,0.282043154854533,-4.94849361455808,7.47900434703078e-07,1.42877205686201e-05,"Down-regulated"
"ENSG00000204345.1","CD300LD",24.2223452529813,-1.36135006794972,0.272004220555988,-5.00488582554738,5.58951509510374e-07,1.11698369088011e-05,"Down-regulated"
"ENSG00000275216.2","LINC03061",14.2448294440968,-1.31435292845261,0.300054234435685,-4.38038453589741,1.1847005589597e-05,0.000155780430642429,"Down-regulated"
"ENSG00000123838.11","C4BPA",111.688604472428,-1.31301431685258,0.422110469338392,-3.11059405588915,0.00186711423072232,0.010980366845729,"Down-regulated"
"ENSG00000124233.12","SEMG1",20.6161458669535,-1.29772380261054,0.275786835689506,-4.70553208011559,2.53204682976995e-06,4.15734715968986e-05,"Down-regulated"
"ENSG00000164265.9","SCGB3A2",10.5937061075044,-1.29703535618865,0.360861173652533,-3.59427794090573,0.000325292442850548,0.00261741932492328,"Down-regulated"
"ENSG00000175894.18","TSPEAR",61.0969090610482,-1.29363053392823,0.237348723012331,-5.45033702945612,5.02744541914798e-08,1.39885790479346e-06,"Down-regulated"
"ENSG00000163431.14","LMOD1",16.1227049696671,-1.2621871545153,0.315031363743108,-4.00654442630212,6.16135406021939e-05,0.000628727199034145,"Down-regulated"
"ENSG00000213088.13","ACKR1",68.7145205970305,-1.25038066797174,0.315090252806064,-3.96832544592024,7.23794444904978e-05,0.000727587079889312,"Down-regulated"
"ENSG00000198892.7","SHISA4",446.178079913521,-1.24294553220938,0.201974558242852,-6.15397079227608,7.55666070007223e-10,3.37549365830432e-08,"Down-regulated"
"ENSG00000115507.10","OTX1",140.848896766027,-1.23877467472567,0.217277760345852,-5.70134132804871,1.188683494671e-08,3.89635911697463e-07,"Down-regulated"
"ENSG00000246228.7","CASC8",12.504874294147,-1.22969209671588,0.304108661299366,-4.0435944555534,5.26379359749451e-05,0.000554523920892124,"Down-regulated"
"ENSG00000230910.6","ADGRB3-DT",38.0535641260139,-1.2114778968263,0.278121737839257,-4.35592667526939,1.32505131317266e-05,0.00017200185315222,"Down-regulated"
"ENSG00000197992.7","CLEC9A",94.0203054723095,-1.18946792678997,0.167193165117934,-7.11433344748839,1.12454975527637e-12,1.00960193546363e-10,"Down-regulated"
"ENSG00000248673.2","LINC01331",9.88407080027617,-1.17949740178379,0.351642746466724,-3.35424920216692,0.000795806573019526,0.00548339311655231,"Down-regulated"
"ENSG00000173626.10","TRAPPC3L",13.7853712587918,-1.1780561300009,0.235033830111464,-5.01228325063761,5.37879479616944e-07,1.08318823381423e-05,"Down-regulated"
"ENSG00000145423.5","SFRP2",95.7318832554663,-1.17338569067447,0.24820704051811,-4.72744724817285,2.27360104709647e-06,3.79356868844828e-05,"Down-regulated"
"ENSG00000235961.6","PNMA6A",21.0394982832664,-1.15808759021775,0.264197265037331,-4.38342005566981,1.1683053377177e-05,0.000154180773207133,"Down-regulated"
"ENSG00000260135.7","MMP2-AS1",20.0779020782479,-1.151956836749,0.425889572388677,-2.70482517401882,0.00683403459223793,0.0311765407868676,"Down-regulated"
"ENSG00000229314.6","ORM1",267.399418461098,-1.14850597261741,0.238238297678777,-4.82082848898613,1.42963233205064e-06,2.53080460490266e-05,"Down-regulated"
"ENSG00000166033.13","HTRA1",27.0301586184581,-1.14226778156953,0.24445352150366,-4.6727401370343,2.97207707411296e-06,4.77234402429151e-05,"Down-regulated"
"ENSG00000238243.3","OR2W3",752.045788992064,-1.13663158230642,0.261845265323684,-4.34085214755118,1.41931206012697e-05,0.000182676287399816,"Down-regulated"
"ENSG00000162366.8","PDZK1IP1",2193.31663899342,-1.13461253436822,0.235777774019259,-4.81221157968664,1.49269202171016e-06,2.62083931557493e-05,"Down-regulated"
