"EnsemblID","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Expression"
"ENSG00000211955.2","IGHV3-33",245.686805762324,-4.75035265585975,1.51110148177766,-3.14363576049931,0.00166862994453698,0.999808290086148,"Unchanged"
"ENSG00000117215.15","PLA2G2D",175.65812693182,-4.6347160402574,1.30489156226228,-3.55180167785148,0.000382603118730282,0.999808290086148,"Unchanged"
"ENSG00000211662.2","IGLV3-21",490.658930534742,-4.61314383701585,1.49551580406868,-3.08465067668652,0.00203791353893525,0.999808290086148,"Unchanged"
"ENSG00000198796.7","ALPK2",83.7740799202901,-4.11202550699322,1.39221357755677,-2.95358813710862,0.00314102900429815,0.999808290086148,"Unchanged"
"ENSG00000100721.11","TCL1A",1150.69494476151,-3.99303869902315,1.19901388783812,-3.33026893143232,0.000867621417864641,0.999808290086148,"Unchanged"
"ENSG00000211659.2","IGLV3-25",292.588689190606,-3.97067276813292,1.55731366344024,-2.54969365603674,0.0107817612345761,0.999808290086148,"Unchanged"
"ENSG00000239951.1","IGKV3-20",1144.62923039827,-3.89381694082965,1.46743297465613,-2.65348878489125,0.00796644178751656,0.999808290086148,"Unchanged"
"ENSG00000248909.1","HMGB1P21",11.4226794354902,-3.88312948982075,1.19581467447116,-3.24726696596029,0.00116519038861537,0.999808290086148,"Unchanged"
"ENSG00000211679.2","IGLC3",1244.07968847087,-3.87251736381484,1.29928185696696,-2.98050599494619,0.00287772605336911,0.999808290086148,"Unchanged"
"ENSG00000211660.3","IGLV2-23",365.115015214929,-3.79640914563701,1.48727529351848,-2.55259343188292,0.0106924227275275,0.999808290086148,"Unchanged"
"ENSG00000127074.15","RGS13",261.050916306226,-3.77337224131739,1.37151971940608,-2.75123440656864,0.00593711423125471,0.999808290086148,"Unchanged"
"ENSG00000211673.2","IGLV3-1",570.366072099042,-3.75854467862457,1.33348914619572,-2.81857913080676,0.00482367196583064,0.999808290086148,"Unchanged"
"ENSG00000211668.2","IGLV2-11",232.796898268317,-3.71436109443793,1.56280108069012,-2.37673312383282,0.0174667202891179,0.999808290086148,"Unchanged"
"ENSG00000164694.17","FNDC1",48.776168340815,-3.71170199577654,1.0458665782734,-3.54892495169327,0.00038680730597395,0.999808290086148,"Unchanged"
"ENSG00000211895.5","IGHA1",17247.0854837528,-3.65119782658654,0.987484787234865,-3.6974724813843,0.000217756816594682,0.999808290086148,"Unchanged"
"ENSG00000128218.8","VPREB3",382.701987428759,-3.61901761684919,1.11756904551093,-3.23829443145916,0.00120246642652054,0.999808290086148,"Unchanged"
"ENSG00000211893.4","IGHG2",6028.60039108777,-3.61738545955066,1.1607670742968,-3.11637497276711,0.00183089300035889,0.999808290086148,"Unchanged"
"ENSG00000211651.3","IGLV1-44",396.944690478623,-3.60428718866164,1.5990498385388,-2.25401804358719,0.0241950328753561,0.999808290086148,"Unchanged"
"ENSG00000211896.7","IGHG1",26636.7863953268,-3.59740951831106,1.10009706806432,-3.27008372510338,0.00107515656862687,0.999808290086148,"Unchanged"
"ENSG00000211648.2","IGLV1-47",328.702743114329,-3.57587469433807,1.57175361125112,-2.27508603685769,0.0229007691227669,0.999808290086148,"Unchanged"
"ENSG00000117322.19","CR2",1386.20074883154,-3.50052514628177,1.47521392851808,-2.37289323169434,0.0176493648985045,0.999808290086148,"Unchanged"
"ENSG00000211938.2","IGHV3-7",471.112143879149,-3.46138277924091,1.47667576942411,-2.34403709393214,0.0190762740621874,0.999808290086148,"Unchanged"
