"","row","column","cor","p"
"1","Innate immune cell activation.NSB","Innate immune cell activation.PAX",-0.134089310206522,0.464376617654849
"2","Interferon response.NSB","Innate immune cell activation.PAX",0.0245041733806872,0.894097431550821
"3","Type I interferon signaling.NSB","Innate immune cell activation.PAX",0.21349515342266,0.240696241031407
"4","Type II interferon signaling.NSB","Innate immune cell activation.PAX",0.0664029079613342,0.718035407595797
"5","Type III interferon signaling.NSB","Innate immune cell activation.PAX",0.141341198372557,0.440338535941066
"6","TNF signaling.NSB","Innate immune cell activation.PAX",-0.0854926777068353,0.64176551160387
"7","Toll-like receptor signaling.NSB","Innate immune cell activation.PAX",-0.0743063956834278,0.686083017721147
"8","Nod-like receptor signaling.NSB","Innate immune cell activation.PAX",-0.0401727455350736,0.827197023709882
"9","Chemokine signaling.NSB","Innate immune cell activation.PAX",-0.137203737417452,0.453969231243814
"10","RNA sensing.NSB","Innate immune cell activation.PAX",0.147070625180332,0.421836719079698
"11","Phagocytosis.NSB","Innate immune cell activation.PAX",-0.165909469700854,0.364143865405214
"12","Myeloid inflammation.NSB","Innate immune cell activation.PAX",-0.0825646921052789,0.653256692904406
"13","Myeloid activation.NSB","Innate immune cell activation.PAX",-0.18288359260057,0.316407476870677
"14","Inflammasomes.NSB","Innate immune cell activation.PAX",-0.114778161966627,0.531627395515585
"15","Complement system.NSB","Innate immune cell activation.PAX",-0.162804977159076,0.37331384005959
"16","Coagulation.NSB","Innate immune cell activation.PAX",-0.191591191591548,0.293509537995674
"17","Leukotriene/prostaglandin inflammation.NSB","Innate immune cell activation.PAX",-0.128968247964748,0.481759806943026
"18","Adaptive immune response.NSB","Innate immune cell activation.PAX",-0.115816395366768,0.52789653550768
"19","MHC class I presentation.NSB","Innate immune cell activation.PAX",0.0388707037723177,0.832717822922433
"20","MHC class II presentation.NSB","Innate immune cell activation.PAX",-0.144149674289111,0.431214619751591
"21","TCR signaling.NSB","Innate immune cell activation.PAX",-0.170321769264972,0.351343334875905
"22","BCR signaling.NSB","Innate immune cell activation.PAX",-0.0957598086666637,0.602124371981299
"23","NF-kappaB signaling.NSB","Innate immune cell activation.PAX",-0.156269834105999,0.393055076324458
"24","JAK-STAT signaling.NSB","Innate immune cell activation.PAX",-0.0877555139469037,0.632940046455823
"25","NK cell activity.NSB","Innate immune cell activation.PAX",-0.191007363361936,0.295010913268236
"26","Mononuclear cell migration.NSB","Innate immune cell activation.PAX",-0.104690988823956,0.568521485856565
"27","Lymphocyte trafficking.NSB","Innate immune cell activation.PAX",-0.19930850421726,0.27412157830484
"28","Immune memory.NSB","Innate immune cell activation.PAX",-0.0207863380383947,0.910094733515344
"29","Immune exhaustion.NSB","Innate immune cell activation.PAX",0.0302276543042954,0.869551974572095
"30","Treg differentiation.NSB","Innate immune cell activation.PAX",-0.0708073388931642,0.700167292793917
"31","Innate immune cell activation.NSB","Interferon response.PAX",0.149723554295865,0.413418592450948
"32","Interferon response.NSB","Interferon response.PAX",0.354575474300132,0.0464580631284144
"33","Type I interferon signaling.NSB","Interferon response.PAX",0.554406530099225,0.000992681308290999
"34","Type II interferon signaling.NSB","Interferon response.PAX",0.390809380367322,0.026995140687639
"35","Type III interferon signaling.NSB","Interferon response.PAX",0.328742651961821,0.0661953492323262
"36","TNF signaling.NSB","Interferon response.PAX",0.200981790599475,0.270030083128669
"37","Toll-like receptor signaling.NSB","Interferon response.PAX",0.1617583586714,0.37643561918777
"38","Nod-like receptor signaling.NSB","Interferon response.PAX",0.264878966869851,0.142898383398909
"39","Chemokine signaling.NSB","Interferon response.PAX",0.171560148033715,0.347799920314801
"40","RNA sensing.NSB","Interferon response.PAX",0.462659788137684,0.00766970732217054
"41","Phagocytosis.NSB","Interferon response.PAX",0.136294572917312,0.456994386177536
"42","Myeloid inflammation.NSB","Interferon response.PAX",0.161420221545909,0.377447447686372
"43","Myeloid activation.NSB","Interferon response.PAX",0.0819553908681568,0.655657912376407
"44","Inflammasomes.NSB","Interferon response.PAX",0.141027812489802,0.441363106728237
"45","Complement system.NSB","Interferon response.PAX",0.0635637809123607,0.729632088190333
"46","Coagulation.NSB","Interferon response.PAX",0.0358526895553345,0.845544256450136
"47","Leukotriene/prostaglandin inflammation.NSB","Interferon response.PAX",0.00262957499223452,0.988603964734895
"48","Adaptive immune response.NSB","Interferon response.PAX",0.156997607527169,0.390827423632598
"49","MHC class I presentation.NSB","Interferon response.PAX",0.334840572266499,0.0610313558829481
"50","MHC class II presentation.NSB","Interferon response.PAX",0.133187837531521,0.467412372520085
"51","TCR signaling.NSB","Interferon response.PAX",0.0193442960743204,0.916309297156102
"52","BCR signaling.NSB","Interferon response.PAX",0.0906213634175695,0.621833626338679
"53","NF-kappaB signaling.NSB","Interferon response.PAX",0.0743879046309319,0.685756139172029
"54","JAK-STAT signaling.NSB","Interferon response.PAX",0.191984100731973,0.292501874646956
"55","NK cell activity.NSB","Interferon response.PAX",0.0296186112556053,0.872158629250957
"56","Mononuclear cell migration.NSB","Interferon response.PAX",0.208356182626272,0.252473845225453
"57","Lymphocyte trafficking.NSB","Interferon response.PAX",0.044928929093184,0.807100940732387
"58","Immune memory.NSB","Interferon response.PAX",0.145729322251288,0.426128889235376
"59","Immune exhaustion.NSB","Interferon response.PAX",0.254629317349396,0.159605691167898
"60","Treg differentiation.NSB","Interferon response.PAX",0.0896410734840467,0.625623650419427
"61","Innate immune cell activation.NSB","Type I interferon signaling.PAX",0.216889582641281,0.233121529193783
"62","Interferon response.NSB","Type I interferon signaling.PAX",0.423567703312606,0.01570563574482
