"","row","column","cor","p"
"1","Adaptive immune response.NSB","Adaptive immune response.PAX",-0.135938272108299,0.198856803479251
"2","Innate immune cell activation.NSB","Adaptive immune response.PAX",-0.124465340690569,0.239799676766146
"3","Interferon response.NSB","Adaptive immune response.PAX",0.0216223649214798,0.838793786733557
"4","BCR signaling.NSB","Adaptive immune response.PAX",-0.250293210022431,0.016717670167429
"5","Chemokine signaling.NSB","Adaptive immune response.PAX",-0.101932341223015,0.336332095651912
"6","Coagulation.NSB","Adaptive immune response.PAX",-0.203682122741125,0.0528070215412306
"7","Complement system.NSB","Adaptive immune response.PAX",-0.208229144471539,0.0476262254443751
"8","Immune exhaustion.NSB","Adaptive immune response.PAX",-0.00121273982734859,0.990897230598604
"9","Immune memory.NSB","Adaptive immune response.PAX",-0.207154578632563,0.0488110109559434
"10","Inflammasomes.NSB","Adaptive immune response.PAX",-0.0917400991832541,0.387108680227373
"11","JAK-STAT signaling.NSB","Adaptive immune response.PAX",-0.100392109021625,0.343722528955501
"12","Leukotriene/prostaglandin inflammation.NSB","Adaptive immune response.PAX",-0.2032129055706,0.0533670337727736
"13","Lymphocyte trafficking.NSB","Adaptive immune response.PAX",-0.253657646670144,0.015261621951022
"14","MHC class I presentation.NSB","Adaptive immune response.PAX",-0.0154626244079534,0.884336929755179
"15","MHC class II presentation.NSB","Adaptive immune response.PAX",-0.1467381992,0.165146668179388
"16","Mononuclear cell migration.NSB","Adaptive immune response.PAX",-0.0564074602623834,0.59536508461349
"17","Myeloid activation.NSB","Adaptive immune response.PAX",-0.166833137101303,0.113972915049821
"18","Myeloid inflammation.NSB","Adaptive immune response.PAX",-0.125656257123019,0.235296795489366
"19","NF-kappaB signaling.NSB","Adaptive immune response.PAX",-0.156577386076592,0.138296792654886
"20","NK cell activity.NSB","Adaptive immune response.PAX",-0.23077731041754,0.0277472305988642
"21","Nod-like receptor signaling.NSB","Adaptive immune response.PAX",0.0192990626801762,0.855917665181258
"22","Phagocytosis.NSB","Adaptive immune response.PAX",-0.145727068806112,0.168110541477974
"23","RNA sensing.NSB","Adaptive immune response.PAX",0.110877522326057,0.295416623322162
"24","TCR signaling.NSB","Adaptive immune response.PAX",-0.172637967129989,0.101754426752988
"25","Toll-like receptor signaling.NSB","Adaptive immune response.PAX",-0.0307915575147739,0.772014448009519
"26","TNF signaling.NSB","Adaptive immune response.PAX",0.003742436774763,0.971914546396874
"27","Treg differentiation.NSB","Adaptive immune response.PAX",-0.120935498550172,0.253495558338159
"28","Type I interferon signaling.NSB","Adaptive immune response.PAX",0.121709503956778,0.250447514210629
"29","Type II interferon signaling.NSB","Adaptive immune response.PAX",0.025039408225852,0.813746428874894
"30","Type III interferon signaling.NSB","Adaptive immune response.PAX",0.034695125424202,0.744051059041234
"31","Adaptive immune response.NSB","Innate immune cell activation.PAX",-0.199540053938775,0.0579210971523469
"32","Innate immune cell activation.NSB","Innate immune cell activation.PAX",-0.19115341430102,0.0695153452981461
"33","Interferon response.NSB","Innate immune cell activation.PAX",-0.0602990718524875,0.570183136114662
"34","BCR signaling.NSB","Innate immune cell activation.PAX",-0.296837063281418,0.0042739914702703
"35","Chemokine signaling.NSB","Innate immune cell activation.PAX",-0.170407328447765,0.106322362106524
"36","Coagulation.NSB","Innate immune cell activation.PAX",-0.26023118436827,0.0127308396107206
"37","Complement system.NSB","Innate immune cell activation.PAX",-0.270530515017804,0.00949838231190858
"38","Immune exhaustion.NSB","Innate immune cell activation.PAX",-0.0597314417069299,0.573824904446987
"39","Immune memory.NSB","Innate immune cell activation.PAX",-0.265331546424244,0.0110268620316509
"40","Inflammasomes.NSB","Innate immune cell activation.PAX",-0.157756317155807,0.135315590493258
"41","JAK-STAT signaling.NSB","Innate immune cell activation.PAX",-0.163372328510017,0.121780205864565
"42","Leukotriene/prostaglandin inflammation.NSB","Innate immune cell activation.PAX",-0.232383138472068,0.0266512710891784
"43","Lymphocyte trafficking.NSB","Innate immune cell activation.PAX",-0.298409403298168,0.00406517811469898
"44","MHC class I presentation.NSB","Innate immune cell activation.PAX",-0.0843757545420395,0.426505268755742
"45","MHC class II presentation.NSB","Innate immune cell activation.PAX",-0.195874384568241,0.0627779735072149
"46","Mononuclear cell migration.NSB","Innate immune cell activation.PAX",-0.136842654305298,0.195857462078865
"47","Myeloid activation.NSB","Innate immune cell activation.PAX",-0.228929278323703,0.029055539930503
"48","Myeloid inflammation.NSB","Innate immune cell activation.PAX",-0.198357725454182,0.0594529182631005
"49","NF-kappaB signaling.NSB","Innate immune cell activation.PAX",-0.213470028255947,0.0421833577777047
"50","NK cell activity.NSB","Innate immune cell activation.PAX",-0.269494174468552,0.00978731618231876
"51","Nod-like receptor signaling.NSB","Innate immune cell activation.PAX",-0.0532640192534207,0.616062513946061
"52","Phagocytosis.NSB","Innate immune cell activation.PAX",-0.217808485067074,0.0380785503959511
"53","RNA sensing.NSB","Innate immune cell activation.PAX",0.0264042380356648,0.80379265652119
"54","TCR signaling.NSB","Innate immune cell activation.PAX",-0.20381806020581,0.0526456846802739
"55","Toll-like receptor signaling.NSB","Innate immune cell activation.PAX",-0.086885304704921,0.412828890558147
"56","TNF signaling.NSB","Innate immune cell activation.PAX",-0.0568468241727758,0.592497192034697
"57","Treg differentiation.NSB","Innate immune cell activation.PAX",-0.174737695024074,0.0975962917460889
"58","Type I interferon signaling.NSB","Innate immune cell activation.PAX",0.0206961990629013,0.845611560489416
"59","Type II interferon signaling.NSB","Innate immune cell activation.PAX",-0.0523734561263884,0.621982225296347
"60","Type III interferon signaling.NSB","Innate immune cell activation.PAX",-0.0386446158841011,0.716092554816139
"61","Adaptive immune response.NSB","Interferon response.PAX",0.00839686703411638,0.937036536976077
"62","Innate immune cell activation.NSB","Interferon response.PAX",0.0197351442005283,0.852698190850054
"63","Interferon response.NSB","Interferon response.PAX",0.25280048724606,0.01562175239467
"64","BCR signaling.NSB","Interferon response.PAX",-0.144098063433896,0.172967842333779
"65","Chemokine signaling.NSB","Interferon response.PAX",0.0543775794499058,0.608694940457178
"66","Coagulation.NSB","Interferon response.PAX",-0.101822355072012,0.336856480987918
"67","Complement system.NSB","Interferon response.PAX",-0.0853960849547454,0.420913678227809
"68","Immune exhaustion.NSB","Interferon response.PAX",0.134350163126982,0.204203293640821
"69","Immune memory.NSB","Interferon response.PAX",-0.0717822926854494,0.498934983050039
"70","Inflammasomes.NSB","Interferon response.PAX",0.0467586299729565,0.659847557544097
"71","JAK-STAT signaling.NSB","Interferon response.PAX",0.0664388008048176,0.531501030962086
"72","Leukotriene/prostaglandin inflammation.NSB","Interferon response.PAX",-0.209177307564414,0.0466006389796334
"73","Lymphocyte trafficking.NSB","Interferon response.PAX",-0.175550576808919,0.0960228352436059
"74","MHC class I presentation.NSB","Interferon response.PAX",0.209943944652693,0.0457848219128962
"75","MHC class II presentation.NSB","Interferon response.PAX",-0.0127340744763534,0.904640862595376
"76","Mononuclear cell migration.NSB","Interferon response.PAX",0.116006316503024,0.273501846979203
"77","Myeloid activation.NSB","Interferon response.PAX",-0.0495513590758649,0.640899052970971
