"","row","column","cor","p"
"1","Innate immune cell activation.NSB","Innate immune cell activation.PAX",0.0692351763914055,0.747861122327878
"2","Interferon response.NSB","Innate immune cell activation.PAX",0.20845868722233,0.328315477727455
"3","Type I interferon signaling.NSB","Innate immune cell activation.PAX",0.23489881276875,0.269210792949585
"4","Type II interferon signaling.NSB","Innate immune cell activation.PAX",0.20798892789392,0.329431291226163
"5","Type III interferon signaling.NSB","Innate immune cell activation.PAX",0.244852351754247,0.248848479096251
"6","TNF signaling.NSB","Innate immune cell activation.PAX",0.131344500254256,0.540694088578882
"7","Toll-like receptor signaling.NSB","Innate immune cell activation.PAX",0.16943126909174,0.428665552717985
"8","Nod-like receptor signaling.NSB","Innate immune cell activation.PAX",0.171912377075009,0.421834645160046
"9","Chemokine signaling.NSB","Innate immune cell activation.PAX",0.0513465009450149,0.811668694604926
"10","RNA sensing.NSB","Innate immune cell activation.PAX",0.263552672535722,0.21336830606667
"11","Phagocytosis.NSB","Innate immune cell activation.PAX",-0.0313288953551508,0.884457013277327
"12","Myeloid inflammation.NSB","Innate immune cell activation.PAX",0.0589236427058988,0.784474166561436
"13","Myeloid activation.NSB","Innate immune cell activation.PAX",0.0108055720091671,0.960033447586168
"14","Inflammasomes.NSB","Innate immune cell activation.PAX",0.0904403584290725,0.674283753604946
"15","Complement system.NSB","Innate immune cell activation.PAX",-0.106653544314911,0.61988054185733
"16","Coagulation.NSB","Innate immune cell activation.PAX",-0.0321653346315587,0.88139312637679
"17","Leukotriene/prostaglandin inflammation.NSB","Innate immune cell activation.PAX",-0.175333579034432,0.412513632733269
"18","Adaptive immune response.NSB","Innate immune cell activation.PAX",0.0693531769599866,0.747445021713273
"19","MHC class I presentation.NSB","Innate immune cell activation.PAX",0.215856764347776,0.311044465718628
"20","MHC class II presentation.NSB","Innate immune cell activation.PAX",0.0618524597223449,0.774025982282789
"21","TCR signaling.NSB","Innate immune cell activation.PAX",0.0626802624072346,0.771079703925188
